adhesivity,particle_size,weight_coefficient,gamma
0.51,0.02,0.0,0.6433187100192373
0.51,0.04,0.0,0.6458092435477306
0.51,0.06,0.0,0.6488654991883432
0.51,0.08,0.0,0.6523396088286674
0.51,0.1,0.0,0.6561539458497275
0.52,0.02,0.0,0.6503683532616072
0.52,0.04,0.0,0.6528721517200221
0.52,0.06,0.0,0.6559491867075596
0.52,0.08,0.0,0.659432887423398
0.52,0.1,0.0,0.6632318959241429
0.53,0.02,0.0,0.65727373016152
0.53,0.04,0.0,0.6597902608618703
0.53,0.06,0.0,0.6628863057008315
0.53,0.08,0.0,0.6663764457977134
0.53,0.1,0.0,0.670155636427069
0.54,0.02,0.0,0.6640376457359499
0.54,0.04,0.0,0.6665663904924622
0.54,0.06,0.0,0.669679727403563
0.54,0.08,0.0,0.6731733145022648
0.54,0.1,0.0,0.676928541287474
0.55,0.02,0.0,0.670663102213027
0.55,0.04,0.0,0.6732035574509293
0.55,0.06,0.0,0.6763325296513741
0.55,0.08,0.0,0.6798267525873122
0.55,0.1,0.0,0.6835542508807281
0.56,0.02,0.0,0.6771532839485802
0.56,0.04,0.0,0.6797049590979322
0.56,0.06,0.0,0.6828479774468542
0.56,0.08,0.0,0.6863402244912707
0.56,0.1,0.0,0.6900366440391922
0.57,0.02,0.0,0.6835115295540563
0.57,0.04,0.0,0.686073943662929
0.57,0.06,0.0,0.6892294904539179
0.57,0.08,0.0,0.6927173634528708
0.57,0.1,0.0,0.6963797959565378
0.58,0.02,0.0,0.689741292481496
0.58,0.04,0.0,0.6923139690476899
0.58,0.06,0.0,0.695480598799452
0.58,0.08,0.0,0.6989619228946159
0.58,0.1,0.0,0.7025879234981088
0.59,0.02,0.0,0.6958460918690376
0.59,0.04,0.0,0.6984285519609083
0.59,0.06,0.0,0.7016048891332497
0.59,0.08,0.0,0.7050777178075206
0.59,0.1,0.0,0.7086653200237952
0.6,0.02,0.0,0.7018294559635206
0.6,0.04,0.0,0.7044212097759223
