adhesivity,particle_size,volume_time_400,efficiency_time_400,product,n
0.95,0.06,65.29089725250199,0.8565130464549277,7.216204419970531,0.51
1.0,0.06,62.21450536936352,0.8703538072908388,7.154521223022504,0.51
0.0,0.07,0.008494479202439675,0.008494479202439686,0.0007464427490136927,0.51
0.05,0.07,0.10540469061043048,0.10537389321552877,0.03344965126987226,0.51
0.1,0.07,0.19249396027009363,0.1925298129654198,0.08309037399840392,0.51
0.15,0.07,0.27085430289196305,0.2709964358995644,0.13920627301345992,0.51
0.2,0.07,0.3413881875710609,0.341690670455004,0.19751034646646928,0.51
0.25,0.07,0.4049135666720398,0.4054303303093589,0.2556648495580289,0.51
0.3,0.07,0.46215760503637837,0.46293580242038096,0.3122940590461464,0.51
0.35,0.07,0.5137709276484898,0.5148498651412254,0.3665836248974322,0.51
0.4,0.07,123.0685678244932,0.5621467385302368,6.543720483958464,0.51
0.45,0.07,110.80286862062972,0.6048366142554937,6.673583300687191,0.51
0.5,0.07,100.8128672097567,0.6433378947331994,6.764446659391264,0.51
0.55,0.07,92.51611650689459,0.6780645318222425,6.824045266889408,0.51
0.6,0.07,85.50570698141135,0.7093903000834053,6.858083174685341,0.51
0.65,0.07,79.48501915010029,0.737652983549283,6.8706463959537505,0.51
0.7,0.07,74.26053465194059,0.7631532277509142,6.865914042035522,0.51
0.75,0.07,69.68180955636569,0.7861627619813776,6.847048011779673,0.51
0.8,0.07,65.63944983370156,0.8069255153805318,6.816910054615693,0.51
0.85,0.07,62.043541100959885,0.8256621434652843,6.777626418695572,0.51
0.9,0.07,58.814419690925796,0.84257293340147,6.730452292011574,0.51
0.95,0.07,55.90445312181178,0.8578356282552636,6.677313170977583,0.51
1.0,0.07,53.261230391312694,0.8716128098994398,6.619014214413891,0.51
0.0,0.08,0.008494479202439675,0.008494479202439686,0.0007464427490136927,0.51
0.05,0.08,0.1057631432714043,0.105738925636858,0.03362369299889453,0.51
0.1,0.08,0.19311405939436077,0.19316215274264648,0.08350012437008043,0.51
0.15,0.08,0.27165520752211725,0.27182275783896226,0.13984115815057163,0.51
0.2,0.08,0.3423108348349198,0.34266150611904184,0.1983443568335176,0.51
0.25,0.08,0.4059140501681768,0.40651006104657267,0.2566685644856737,0.51
0.3,0.08,0.46320847024918965,0.4641044857607386,0.3134453108426806,0.51
0.35,0.08,121.19553470207367,0.5165502260988353,5.966102792189842,0.51
0.4,0.08,107.64876671946462,0.5639275046426826,6.131234079649436,0.51
0.45,0.08,96.91385269642225,0.6066281858843745,6.251430008284474,0.51
0.5,0.08,88.17898296972189,0.6451202713738295,6.335441460436314,0.51
0.55,0.08,80.91641817155578,0.6798241105327936,6.38991755408713,0.51
0.6,0.08,74.77139711741592,0.7111167762337438,6.420162596674553,0.51
0.65,0.08,69.50326742884015,0.73933551258028,6.430788557020693,0.51
0.7,0.08,64.92645218005332,0.7647858900149744,6.4250264451485375,0.51
0.75,0.08,60.91949918347953,0.7877394055979346,6.406315106473662,0.51
0.8,0.08,57.38104664311831,0.8084424563350021,6.377067741864128,0.51
0.85,0.08,54.22543467927292,0.8271184422223667,6.338861397973745,0.51
0.9,0.08,51.403042961939796,0.8439646349532576,6.294026272809826,0.51
0.95,0.08,48.8612429699958,0.8591617343773962,6.243768990634226,0.51
1.0,0.08,46.555930379032404,0.8728728364917938,6.188967950886579,0.51
0.0,0.09,0.008494479202439675,0.008494479202439686,0.0007464427490136927,0.51
0.05,0.09,0.10612118948246016,0.1061046318910224,0.033798188105029145,0.51
0.1,0.09,0.19373534498678527,0.1937945231661427,0.08391083022820853,0.51
0.15,0.09,0.27245960382772694,0.2726522063712391,0.1404795469857772,0.51
0.2,0.09,0.3432390046679728,0.3436380760876834,0.19918451028580716,0.51
0.25,0.09,0.4069243230287552,0.40760020143519127,0.25768334609035226,0.51
0.3,0.09,123.44113927932418,0.46565560883529644,5.428869451780415,0.51
0.35,0.09,107.69136755822156,0.5182988557438731,5.636279287013678,0.51
