adhesivity,particle_size,n
0.9,0.04,1.05
0.65,0.05,1.05
0.5,0.06,1.05
0.35,0.07,1.05
0.3,0.08,1.05
0.3,0.09,1.05
0.3,0.1,1.05
1.0,0.03,1.06
0.9,0.04,1.06
0.65,0.05,1.06
0.5,0.06,1.06
0.3,0.07,1.06
0.3,0.08,1.06
0.3,0.09,1.06
0.3,0.1,1.06
1.0,0.03,1.07
0.9,0.04,1.07
0.65,0.05,1.07
0.5,0.06,1.07
0.3,0.07,1.07
0.3,0.08,1.07
0.3,0.09,1.07
0.3,0.1,1.07
1.0,0.03,1.08
0.9,0.04,1.08
0.65,0.05,1.08
0.5,0.06,1.08
0.3,0.07,1.08
0.3,0.08,1.08
0.3,0.09,1.08
0.3,0.1,1.08
1.0,0.03,1.09
0.9,0.04,1.09
0.65,0.05,1.09
0.5,0.06,1.09
0.3,0.07,1.09
0.3,0.08,1.09
0.3,0.09,1.09
0.3,0.1,1.09
1.0,0.03,1.1
0.9,0.04,1.1
0.65,0.05,1.1
0.5,0.06,1.1
0.3,0.07,1.1
0.3,0.08,1.1
0.3,0.09,1.1
0.3,0.1,1.1
1.0,0.03,1.11
0.9,0.04,1.11
0.65,0.05,1.11
0.5,0.06,1.11
0.3,0.07,1.11
0.3,0.08,1.11
0.3,0.09,1.11
0.3,0.1,1.11
1.0,0.03,1.12
0.9,0.04,1.12
0.65,0.05,1.12
0.45,0.06,1.12
0.3,0.07,1.12
0.3,0.08,1.12
0.3,0.09,1.12
0.3,0.1,1.12
1.0,0.03,1.1300000000000001
0.9,0.04,1.1300000000000001
0.65,0.05,1.1300000000000001
0.45,0.06,1.1300000000000001
0.3,0.07,1.1300000000000001
0.3,0.08,1.1300000000000001
0.3,0.09,1.1300000000000001
0.3,0.1,1.1300000000000001
1.0,0.03,1.1400000000000001
0.85,0.04,1.1400000000000001
0.65,0.05,1.1400000000000001
0.45,0.06,1.1400000000000001
0.3,0.07,1.1400000000000001
0.3,0.08,1.1400000000000001
0.3,0.09,1.1400000000000001
