n,adhesivity,Optimal Time,Optimal Retained,Optimal Score,particle_size
0.303,0.45,0.6856682952920145,0.10479106121932907,0.2807968631433527,0.06
0.304,0.45,0.6856682952920145,0.10479106121932907,0.2813777403774254,0.06
0.305,0.45,0.6856682952920145,0.10479106121932907,0.2819586176114981,0.06
0.306,0.45,0.6856682952920145,0.10479106121932907,0.2825394948455708,0.06
0.307,0.45,0.6856682952920145,0.10479106121932907,0.28312037207964347,0.06
0.308,0.45,0.6856682952920145,0.10479106121932907,0.28370124931371615,0.06
0.309,0.45,0.6856682952920145,0.10479106121932907,0.28428212654778884,0.06
0.31,0.45,0.6856682952920145,0.10479106121932907,0.2848630037818615,0.06
0.311,0.45,0.6856682952920145,0.10479106121932907,0.2854438810159342,0.06
0.312,0.45,0.6856682952920145,0.10479106121932907,0.2860247582500069,0.06
0.313,0.45,0.6856682952920145,0.10479106121932907,0.2866056354840796,0.06
0.314,0.45,0.6856682952920145,0.10479106121932907,0.28718651271815226,0.06
0.315,0.45,0.6856682952920145,0.10479106121932907,0.28776738995222495,0.06
0.316,0.45,0.6856682952920145,0.10479106121932907,0.28834826718629764,0.06
0.317,0.45,0.6856682952920145,0.10479106121932907,0.2889291444203704,0.06
0.318,0.45,0.6856682952920145,0.10479106121932907,0.28951002165444306,0.06
0.319,0.45,0.6856682952920145,0.10479106121932907,0.29009089888851575,0.06
0.32,0.45,0.6856682952920145,0.10479106121932907,0.29067177612258843,0.06
0.321,0.45,0.6856682952920145,0.10479106121932907,0.2912526533566611,0.06
0.322,0.45,0.6856682952920145,0.10479106121932907,0.2918335305907338,0.06
0.323,0.45,0.6856682952920145,0.10479106121932907,0.29241440782480643,0.06
0.324,0.45,0.6856682952920145,0.10479106121932907,0.2929952850588791,0.06
0.325,0.45,0.6856682952920145,0.10479106121932907,0.2935761622929518,0.06
0.326,0.45,0.6856682952920145,0.10479106121932907,0.2941570395270245,0.06
0.327,0.45,0.6856682952920145,0.10479106121932907,0.2947379167610972,0.06
0.328,0.45,0.6856682952920145,0.10479106121932907,0.29531879399516986,0.06
0.329,0.45,0.6856682952920145,0.10479106121932907,0.29589967122924254,0.06
0.33,0.45,0.6856682952920145,0.10479106121932907,0.29648054846331523,0.06
0.331,0.45,0.6856682952920145,0.10479106121932907,0.2970614256973879,0.06
0.332,0.45,0.6856682952920145,0.10479106121932907,0.2976423029314606,0.06
0.333,0.45,0.6856682952920145,0.10479106121932907,0.2982231801655333,0.06
0.334,0.45,0.6856682952920145,0.10479106121932907,0.29880405739960597,0.06
0.335,0.45,0.6856682952920145,0.10479106121932907,0.2993849346336787,0.06
