adhesivity,particle_size,avg_retained_particles_throughput_100,time_throughput_100,ratio,n
0.9,0.04,0.8385975297307955,221.12495341384476,0.0019427612102518499,4.8
0.0,0.05,0.0,99.99999999999997,0.0,4.8
0.05,0.05,0.12587817469369167,106.26567205441751,4.501622815799004e-07,4.8
0.1,0.05,0.20898264652756693,112.67367764569015,4.838453914682214e-06,4.8
0.15,0.05,0.28413880000065506,119.20814073202843,1.99820797105593e-05,4.8
0.2,0.05,0.3521111983041745,125.87416091067705,5.298179043453673e-05,4.8
0.25,0.05,0.4135906004784775,132.6953378839287,0.00010881368150214206,4.8
0.3,0.05,0.4692009553957779,139.71317569644754,0.00018935871463056378,4.8
0.35,0.05,0.5195058939277203,147.00538953725723,0.0002934276547359722,4.8
0.4,0.05,0.565014598521041,154.67516079813626,0.00041731676786116044,4.8
0.45,0.05,0.6061870947654305,162.9132385268621,0.0005553358588965918,4.8
0.5,0.05,0.6434390173915863,171.979178887524,0.0007004217325043484,4.8
0.55,0.05,0.6771459335024986,182.30928514688048,0.0008442403992109513,4.8
0.6,0.05,0.7076472144672088,194.63859944979535,0.0009769935042107903,4.8
0.65,0.05,0.7352495490893491,210.39459488008504,0.001086056207946474,4.8
0.7,0.05,0.7602301125441494,232.89677200586192,0.0011517888150821263,4.8
0.0,0.06,0.0,99.99999999999997,0.0,4.8
0.05,0.06,0.1258783463278753,107.61564620731836,4.4451817327076425e-07,4.8
0.1,0.06,0.20898264735402616,115.60879698826847,4.715613528011636e-06,4.8
0.15,0.06,0.2841388000883591,123.9952286988844,1.921063091523295e-05,4.8
0.2,0.06,0.35211119703759564,132.80844597767268,5.021546822756819e-05,4.8
0.25,0.06,0.4135906013394093,142.13796893442486,0.00010158487901465088,4.8
0.3,0.06,0.4692009549994125,152.12737691254063,0.0001739062869319545,4.8
0.35,0.06,0.5195058939900896,162.99942212798948,0.00026463558058783957,4.8
0.4,0.06,0.5650145989147182,175.16498396218574,0.00036850138040429376,4.8
0.45,0.06,0.60618709243011,189.30368132818765,0.0004779176027385566,4.8
0.5,0.06,0.6434390170305946,206.72536478044054,0.0005826955692380654,4.8
0.55,0.06,0.6771459333904484,230.24327060383436,0.0006684793138421174,4.8
0.0,0.07,0.0,99.99999999999997,0.0,4.8
0.05,0.07,0.1258778022789221,109.00086803455427,4.3885997353578223e-07,4.8
0.1,0.07,0.2089826446285883,118.70582850643635,4.592583024502515e-06,4.8
0.15,0.07,0.2841388005025641,129.19141170051415,1.8437963941238306e-05,4.8
0.2,0.07,0.3521111978984264,140.58180891583197,4.7438843112324864e-05,4.8
0.25,0.07,0.4135906013818067,153.1194317437549,9.429938591243122e-05,4.8
0.3,0.07,0.4692009554240958,167.18530416622644,0.00015824301966274162,4.8
0.35,0.07,0.519505892568713,183.48283457627574,0.00023509254281712345,4.8
0.4,0.07,0.5650146045694395,203.36818630383775,0.00031739743891388676,4.8
0.45,0.07,0.6061870918103067,229.78223804064004,0.0003937273911917076,4.8
0.5,0.07,0.6434390171741005,270.92683097510445,0.00044461434034456955,4.8
0.0,0.08,0.0,99.99999999999997,0.0,4.8
0.05,0.08,0.12587797928909128,110.42409295944518,4.3320655541390963e-07,4.8
0.1,0.08,0.20898264563151203,121.97628805668948,4.469445612355518e-06,4.8
0.15,0.08,0.2841388012980127,134.84232597657595,1.7665273905719684e-05,4.8
0.2,0.08,0.35211119710025884,149.35468238822858,4.465235504104311e-05,4.8
0.25,0.08,0.4135906014667655,166.05067282759092,8.695579580051129e-05,4.8
0.3,0.08,0.4692009558581739,185.920155012693,0.00014229714626783662,4.8
