adhesivity_time_400,particle_size,weight_coefficient
0.12,0.06,2.4
0.1,0.07,2.4
0.09,0.08,2.4
0.08,0.09,2.4
0.07,0.1,2.4
0.72,0.01,2.45
0.39,0.02,2.45
0.26,0.03,2.45
0.19,0.04,2.45
0.14,0.05,2.45
0.12,0.06,2.45
0.1,0.07,2.45
0.08,0.08,2.45
0.07,0.09,2.45
0.07,0.1,2.45
0.71,0.01,2.5
0.38,0.02,2.5
0.25,0.03,2.5
0.18,0.04,2.5
0.14,0.05,2.5
0.11,0.06,2.5
0.09,0.07,2.5
0.08,0.08,2.5
0.07,0.09,2.5
0.06,0.1,2.5
0.7,0.01,2.55
0.37,0.02,2.55
0.24,0.03,2.55
0.17,0.04,2.55
0.13,0.05,2.55
0.11,0.06,2.55
0.09,0.07,2.55
0.08,0.08,2.55
0.07,0.09,2.55
0.06,0.1,2.55
0.69,0.01,2.6
0.36,0.02,2.6
0.23,0.03,2.6
0.17,0.04,2.6
0.13,0.05,2.6
0.11,0.06,2.6
0.09,0.07,2.6
0.08,0.08,2.6
0.07,0.09,2.6
0.06,0.1,2.6
0.68,0.01,2.65
0.35,0.02,2.65
0.23,0.03,2.65
0.16,0.04,2.65
0.13,0.05,2.65
0.1,0.06,2.65
0.09,0.07,2.65
0.07,0.08,2.65
0.06,0.09,2.65
0.06,0.1,2.65
0.67,0.01,2.7
0.34,0.02,2.7
0.22,0.03,2.7
0.16,0.04,2.7
0.12,0.05,2.7
0.1,0.06,2.7
0.08,0.07,2.7
0.07,0.08,2.7
0.06,0.09,2.7
0.05,0.1,2.7
0.66,0.01,2.75
0.33,0.02,2.75
0.21,0.03,2.75
0.15,0.04,2.75
0.12,0.05,2.75
0.1,0.06,2.75
0.08,0.07,2.75
0.07,0.08,2.75
0.06,0.09,2.75
0.05,0.1,2.75
0.65,0.01,2.8
0.33,0.02,2.8
0.21,0.03,2.8
0.15,0.04,2.8
0.11,0.05,2.8
0.09,0.06,2.8
0.08,0.07,2.8
0.07,0.08,2.8
0.06,0.09,2.8
0.05,0.1,2.8
0.63,0.01,2.85
0.32,0.02,2.85
0.21,0.03,2.85
0.14,0.04,2.85
0.11,0.05,2.85
0.09,0.06,2.85
0.08,0.07,2.85
0.06,0.08,2.85
0.06,0.09,2.85
0.05,0.1,2.85
0.62,0.01,2.9
0.31,0.02,2.9
0.2,0.03,2.9
0.14,0.04,2.9
0.11,0.05,2.9
0.09,0.06,2.9
0.07,0.07,2.9
0.06,0.08,2.9
0.05,0.09,2.9
0.05,0.1,2.9
0.61,0.01,2.95
0.3,0.02,2.95
0.19,0.03,2.95
0.14,0.04,2.95
0.1,0.05,2.95
0.09,0.06,2.95
0.07,0.07,2.95
0.06,0.08,2.95
0.05,0.09,2.95
0.05,0.1,2.95
0.61,0.01,3.0
0.29,0.02,3.0
0.18,0.03,3.0
0.13,0.04,3.0
0.1,0.05,3.0
0.08,0.06,3.0
0.07,0.07,3.0
0.06,0.08,3.0
0.05,0.09,3.0
0.05,0.1,3.0
0.59,0.01,3.05
0.29,0.02,3.05
0.18,0.03,3.05
0.13,0.04,3.05
0.1,0.05,3.05
0.08,0.06,3.05
0.07,0.07,3.05
0.06,0.08,3.05
0.05,0.09,3.05
0.04,0.1,3.05
0.58,0.01,3.1
0.28,0.02,3.1
0.17,0.03,3.1
0.12,0.04,3.1
0.1,0.05,3.1
0.08,0.06,3.1
0.07,0.07,3.1
0.06,0.08,3.1
0.05,0.09,3.1
0.04,0.1,3.1
0.58,0.01,3.15
0.27,0.02,3.15
0.17,0.03,3.15
0.12,0.04,3.15
0.09,0.05,3.15
0.08,0.06,3.15
0.06,0.07,3.15
0.05,0.08,3.15
0.05,0.09,3.15
0.04,0.1,3.15
0.57,0.01,3.2
0.27,0.02,3.2
0.17,0.03,3.2
0.12,0.04,3.2
0.09,0.05,3.2
0.07,0.06,3.2
0.06,0.07,3.2
0.05,0.08,3.2
0.05,0.09,3.2
0.04,0.1,3.2
0.56,0.01,3.25
0.26,0.02,3.25
0.16,0.03,3.25
0.12,0.04,3.25
0.09,0.05,3.25
0.07,0.06,3.25
0.06,0.07,3.25
0.05,0.08,3.25
0.05,0.09,3.25
0.04,0.1,3.25
0.55,0.01,3.3
0.25,0.02,3.3
0.16,0.03,3.3
0.11,0.04,3.3
0.09,0.05,3.3
0.07,0.06,3.3
0.06,0.07,3.3
0.05,0.08,3.3
0.04,0.09,3.3
0.04,0.1,3.3
0.54,0.01,3.35
0.25,0.02,3.35
0.15,0.03,3.35
0.11,0.04,3.35
0.09,0.05,3.35
0.07,0.06,3.35
0.06,0.07,3.35
0.05,0.08,3.35
0.04,0.09,3.35
0.04,0.1,3.35
0.53,0.01,3.4
0.24,0.02,3.4
0.15,0.03,3.4
0.11,0.04,3.4
0.08,0.05,3.4
0.07,0.06,3.4
0.06,0.07,3.4
0.05,0.08,3.4
0.04,0.09,3.4
0.04,0.1,3.4
0.52,0.01,3.45
0.24,0.02,3.45
0.15,0.03,3.45
0.11,0.04,3.45
0.08,0.05,3.45
0.07,0.06,3.45
0.06,0.07,3.45
0.05,0.08,3.45
0.04,0.09,3.45
0.04,0.1,3.45
0.51,0.01,3.5
0.23,0.02,3.5
0.14,0.03,3.5
0.1,0.04,3.5
0.08,0.05,3.5
0.06,0.06,3.5
0.05,0.07,3.5
0.05,0.08,3.5
0.04,0.09,3.5
0.04,0.1,3.5
0.5,0.01,3.55
0.23,0.02,3.55
0.14,0.03,3.55
0.1,0.04,3.55
0.08,0.05,3.55
0.06,0.06,3.55
0.05,0.07,3.55
0.05,0.08,3.55
0.04,0.09,3.55
0.03,0.1,3.55
0.49,0.01,3.6
0.22,0.02,3.6
0.14,0.03,3.6
0.1,0.04,3.6
0.08,0.05,3.6
0.06,0.06,3.6
0.05,0.07,3.6
0.04,0.08,3.6
0.04,0.09,3.6
0.03,0.1,3.6
0.48,0.01,3.65
0.22,0.02,3.65
0.13,0.03,3.65
0.1,0.04,3.65
0.07,0.05,3.65
0.06,0.06,3.65
0.05,0.07,3.65
0.04,0.08,3.65
0.04,0.09,3.65
0.03,0.1,3.65
0.48,0.01,3.7
0.21,0.02,3.7
0.13,0.03,3.7
0.09,0.04,3.7
0.07,0.05,3.7
0.06,0.06,3.7
0.05,0.07,3.7
0.04,0.08,3.7
0.04,0.09,3.7
0.03,0.1,3.7
0.47,0.01,3.75
0.21,0.02,3.75
0.13,0.03,3.75
0.09,0.04,3.75
0.07,0.05,3.75
0.06,0.06,3.75
0.05,0.07,3.75
0.04,0.08,3.75
0.04,0.09,3.75
0.03,0.1,3.75
0.46,0.01,3.8
0.21,0.02,3.8
0.13,0.03,3.8
0.09,0.04,3.8
0.07,0.05,3.8
0.06,0.06,3.8
0.05,0.07,3.8
0.04,0.08,3.8
0.04,0.09,3.8
0.03,0.1,3.8
0.45,0.01,3.85
0.21,0.02,3.85
0.12,0.03,3.85
0.09,0.04,3.85
0.07,0.05,3.85
0.06,0.06,3.85
0.05,0.07,3.85
0.04,0.08,3.85
0.03,0.09,3.85
0.03,0.1,3.85
0.45,0.01,3.9
0.2,0.02,3.9
0.12,0.03,3.9
0.09,0.04,3.9
0.07,0.05,3.9
0.05,0.06,3.9
0.05,0.07,3.9
0.04,0.08,3.9
0.03,0.09,3.9
0.03,0.1,3.9
0.4,0.01,3.95
0.19,0.02,3.95
0.12,0.03,3.95
0.09,0.04,3.95
0.07,0.05,3.95
0.05,0.06,3.95
0.04,0.07,3.95
0.04,0.08,3.95
0.03,0.09,3.95
0.03,0.1,3.95
