adhesivity,particle_size,n,product
0.5,0.06,0.04,0.7763574143160956
0.55,0.06,0.04,0.8156044217014405
0.6,0.06,0.04,0.8507358122456593
0.65,0.06,0.04,0.8821881905702853
0.7,0.06,0.04,0.9103412088803601
0.75,0.06,0.04,0.9355326837547371
0.8,0.06,0.04,0.9580698842446267
0.85,0.06,0.04,0.9782247863214478
0.9,0.06,0.04,0.9962409454018182
0.95,0.06,0.04,1.0123439412916446
1.0,0.06,0.04,1.026718764997829
0.3,0.07,0.04,0.5657479335567349
0.35,0.07,0.04,0.6270165600726022
0.4,0.07,0.04,0.6814838702753214
0.45,0.07,0.04,0.7301634907792558
0.5,0.07,0.04,0.7737127830565943
0.55,0.07,0.04,0.8126802839784437
0.6,0.07,0.04,0.8475494568508259
0.65,0.07,0.04,0.8787463105934727
0.7,0.07,0.04,0.9066550153303444
0.75,0.07,0.04,0.9316166584267724
0.8,0.07,0.04,0.9539377724008282
0.85,0.07,0.04,0.973890738423601
0.9,0.07,0.04,0.9917149414915682
0.95,0.07,0.04,1.007631964367533
1.0,0.07,0.04,1.0218333013397873
0.3,0.08,0.04,0.5651371974777096
0.35,0.08,0.04,0.6258237213939701
0.4,0.08,0.04,0.6799917434172006
0.45,0.08,0.04,0.7284135559204485
0.5,0.08,0.04,0.7717120687471755
0.55,0.08,0.04,0.8104347026349493
0.6,0.08,0.04,0.8450654461080003
0.65,0.08,0.04,0.8760356420802056
0.7,0.08,0.04,0.9037259097978245
0.75,0.08,0.04,0.9284805788604534
0.8,0.08,0.04,0.9506044687599825
0.85,0.08,0.04,0.9703665695069786
0.9,0.08,0.04,0.9880155998015311
0.95,0.08,0.04,1.0037683701578843
1.0,0.08,0.04,1.017817653033343
0.3,0.09,0.04,0.5645770696584014
0.35,0.09,0.04,0.6249819658090936
0.4,0.09,0.04,0.6789250990636788
0.45,0.09,0.04,0.7271218047010531
0.5,0.09,0.04,0.7701958708854143
0.55,0.09,0.04,0.8086991320166238
0.6,0.09,0.04,0.843117392574088
0.65,0.09,0.04,0.8738818443904913
0.7,0.09,0.04,0.9013762311334894
0.75,0.09,0.04,0.9259421345588589
0.8,0.09,0.04,0.947880022428286
0.85,0.09,0.04,0.967475794164698
0.9,0.09,0.04,0.9849603178239197
0.95,0.09,0.04,1.0005539277080038
1.0,0.09,0.04,1.014456645684354
0.3,0.1,0.04,0.5642311354074062
0.35,0.1,0.04,0.6244463677548101
0.4,0.1,0.04,0.6781921061792259
0.45,0.1,0.04,0.7261875765397675
0.5,0.1,0.04,0.7690610928230672
0.55,0.1,0.04,0.8073657741541109
0.6,0.1,0.04,0.8415895553647539
0.65,0.1,0.04,0.872165030207578
0.7,0.1,0.04,0.8994746743438139
0.75,0.1,0.04,0.9238646312023417
0.8,0.1,0.04,0.9456374563684085
0.85,0.1,0.04,0.965067737484125
0.9,0.1,0.04,0.982397857820828
0.95,0.1,0.04,0.9978459076784417
1.0,0.1,0.04,1.0116067993974032
0.3,0.03,0.05,0.6025162376730699
0.35,0.03,0.05,0.6687596706875393
0.4,0.03,0.05,0.7283089596790717
0.45,0.03,0.05,0.7818414795880928
0.5,0.03,0.05,0.8299521221709003
0.55,0.03,0.05,0.8731698747893476
0.6,0.03,0.05,0.9119619055251053
0.65,0.03,0.05,0.94675091533522
0.7,0.03,0.05,0.9779074979065215
0.75,0.03,0.05,1.0057698749587454
0.8,0.03,0.05,1.0301482388861272
0.85,0.03,0.05,1.051611079548057
0.9,0.03,0.05,1.0707776230070483
0.95,0.03,0.05,1.0878785439257863
1.0,0.03,0.05,1.1031407471304684
0.3,0.04,0.05,0.6000237015745599
0.35,0.04,0.05,0.6655256717653165
0.4,0.04,0.05,0.7243132301687508
0.45,0.04,0.05,0.7770627700312178
0.5,0.04,0.05,0.8243700057217432
0.55,0.04,0.05,0.8667577933344881
0.6,0.04,0.05,0.9046914221082598
0.65,0.04,0.05,0.9377489519288192
0.7,0.04,0.05,0.9672956444871242
0.75,0.04,0.05,0.9937040178020395
0.8,0.04,0.05,1.017299432254687
0.85,0.04,0.05,1.0383718591400135
0.9,0.04,0.05,1.0571782009151995
0.95,0.04,0.05,1.073949537794009
1.0,0.04,0.05,1.0888930552112026
0.3,0.05,0.05,0.5979659016713952
0.35,0.05,0.05,0.662835487773439
0.4,0.05,0.05,0.7209701658757387
0.45,0.05,0.05,0.773042859884988
0.5,0.05,0.05,0.8194661580237467
0.55,0.05,0.05,0.8603089152497025
0.6,0.05,0.05,0.8968138570391743
0.65,0.05,0.05,0.9294328786315251
0.7,0.05,0.05,0.9585802964437664
0.75,0.05,0.05,0.9846138185067488
0.8,0.05,0.05,1.0078683641903865
0.85,0.05,0.05,1.0286161019094673
0.9,0.05,0.05,1.047121878796851
0.95,0.05,0.05,1.0636175186514745
1.0,0.05,0.05,1.0783080305533146
0.3,0.06,0.05,0.5962570636058124
0.35,0.06,0.05,0.6605827907536042
0.4,0.06,0.05,0.7181470249406512
0.45,0.06,0.05,0.7690129667615067
0.5,0.06,0.05,0.814270410211429
0.55,0.06,0.05,0.8547003465302587
0.6,0.06,0.05,0.8908119585323743
0.65,0.06,0.05,0.9230728202585808
0.7,0.06,0.05,0.9518847588015558
0.75,0.06,0.05,0.9776043188683695
0.8,0.06,0.05,1.000557207650236
0.85,0.06,0.05,1.0210301280355536
0.9,0.06,0.05,1.0392794393434912
0.95,0.06,0.05,1.0555446634055818
1.0,0.06,0.05,1.0700163555697113
0.3,0.07,0.05,0.5948377579918929
0.35,0.07,0.05,0.6586862732738235
0.4,0.07,0.05,0.7150839865502089
0.45,0.07,0.05,0.7653597583830628
0.5,0.07,0.05,0.8102423361747564
0.55,0.07,0.05,0.850319028048254
0.6,0.07,0.05,0.8861046200357354
0.65,0.07,0.05,0.9180500687914268
0.7,0.07,0.05,0.9465632715090891
0.75,0.07,0.05,0.9720048677202623
0.8,0.07,0.05,0.99469903108037
0.85,0.07,0.05,1.0149325979233867
0.9,0.07,0.05,1.0329556956623507
0.95,0.07,0.05,1.049002202107597
1.0,0.07,0.05,1.063271477769266
0.3,0.08,0.05,0.5936608717844166
0.35,0.08,0.05,0.6565788469642353
0.4,0.08,0.05,0.712563758488029
0.45,0.08,0.05,0.7625035642509957
0.5,0.08,0.05,0.8070657979602364
0.55,0.08,0.05,0.8468342129731772
0.6,0.08,0.05,0.882323200691494
0.65,0.08,0.05,0.9139908085048507
0.7,0.08,0.05,0.9422387273544702
0.75,0.08,0.05,0.9674318633662604
0.8,0.08,0.05,0.9898913658738266
0.85,0.08,0.05,1.0098988007579426
0.9,0.08,0.05,1.027717353876412
0.95,0.08,0.05,1.043573762563718
1.0,0.08,0.05,1.0576688870608886
0.3,0.09,0.05,0.5924310802205444
0.35,0.09,0.05,0.6549215705827116
0.4,0.09,0.05,0.7106061596593477
