adhesivity_throughput_100,particle_size,weight_coefficient
0.03,0.1,8.8
0.62,0.01,8.9
0.23,0.02,8.9
0.14,0.03,8.9
0.09,0.04,8.9
0.07,0.05,8.9
0.05,0.06,8.9
0.04,0.07,8.9
0.04,0.08,8.9
0.03,0.09,8.9
0.03,0.1,8.9
0.62,0.01,9.0
0.23,0.02,9.0
0.13,0.03,9.0
0.09,0.04,9.0
0.07,0.05,9.0
0.05,0.06,9.0
0.04,0.07,9.0
0.04,0.08,9.0
0.03,0.09,9.0
0.03,0.1,9.0
0.61,0.01,9.1
0.23,0.02,9.1
0.13,0.03,9.1
0.09,0.04,9.1
0.07,0.05,9.1
0.05,0.06,9.1
0.04,0.07,9.1
0.04,0.08,9.1
0.03,0.09,9.1
0.02,0.1,9.1
0.6,0.01,9.2
0.22,0.02,9.2
0.13,0.03,9.2
0.09,0.04,9.2
0.07,0.05,9.2
0.05,0.06,9.2
0.04,0.07,9.2
0.03,0.08,9.2
0.03,0.09,9.2
0.02,0.1,9.2
0.59,0.01,9.3
0.22,0.02,9.3
0.13,0.03,9.3
0.09,0.04,9.3
0.07,0.05,9.3
0.05,0.06,9.3
0.04,0.07,9.3
0.03,0.08,9.3
0.03,0.09,9.3
0.02,0.1,9.3
0.58,0.01,9.4
0.22,0.02,9.4
0.13,0.03,9.4
0.09,0.04,9.4
0.07,0.05,9.4
0.05,0.06,9.4
0.04,0.07,9.4
0.03,0.08,9.4
0.03,0.09,9.4
0.02,0.1,9.4
0.57,0.01,9.5
0.21,0.02,9.5
0.13,0.03,9.5
0.09,0.04,9.5
0.06,0.05,9.5
0.05,0.06,9.5
0.04,0.07,9.5
0.03,0.08,9.5
0.03,0.09,9.5
0.02,0.1,9.5
0.57,0.01,9.6
0.21,0.02,9.6
0.12,0.03,9.6
0.09,0.04,9.6
0.06,0.05,9.6
0.05,0.06,9.6
0.04,0.07,9.6
0.03,0.08,9.6
0.03,0.09,9.6
0.02,0.1,9.6
0.56,0.01,9.7
0.21,0.02,9.7
0.12,0.03,9.7
0.08,0.04,9.7
0.06,0.05,9.7
0.05,0.06,9.7
0.04,0.07,9.7
0.03,0.08,9.7
0.03,0.09,9.7
0.02,0.1,9.7
0.55,0.01,9.8
0.21,0.02,9.8
0.12,0.03,9.8
0.08,0.04,9.8
0.06,0.05,9.8
0.05,0.06,9.8
0.04,0.07,9.8
0.03,0.08,9.8
0.03,0.09,9.8
0.02,0.1,9.8
0.54,0.01,9.9
0.21,0.02,9.9
0.12,0.03,9.9
0.08,0.04,9.9
0.06,0.05,9.9
0.05,0.06,9.9
0.04,0.07,9.9
0.03,0.08,9.9
0.03,0.09,9.9
0.02,0.1,9.9
0.54,0.01,10.0
0.21,0.02,10.0
0.12,0.03,10.0
0.08,0.04,10.0
0.06,0.05,10.0
0.05,0.06,10.0
0.04,0.07,10.0
0.03,0.08,10.0
0.03,0.09,10.0
0.02,0.1,10.0
