adhesivity,particle_size,time_throughput_100_scaled,efficiency_throughput_100,gamma,weight_coefficient,time_throughput_100
0.03,0.1,0.9245131288377267,0.08220019611938645,0.04456510151355463,7.8,108.1650404745656
0.04,0.1,0.9020794622398289,0.10439875843463949,0.04673096368505789,7.8,110.85497917412266
0.05,0.1,0.8800168558857033,0.12481176232798047,0.04605589677835109,7.8,113.6341870399219
0.06,0.1,0.8583624392003143,0.14379039339085414,0.04368792043974758,7.8,116.50090385264772
0.07,0.1,0.8371284208727786,0.1616256818360517,0.04039137577745238,7.8,119.4559848962497
0.08,0.1,0.8163076606831949,0.17855583332517863,0.036663527382499804,7.8,122.50283173418548
0.09,0.1,0.7958784746971811,0.19477301144131348,0.032819616263213405,7.8,125.64732327765039
0.1,0.1,0.7758087489936921,0.21042958303507592,0.029053151152840684,7.8,128.89774719569846
0.11,0.1,0.7560594476072469,0.22564383956265086,0.025477678284060615,7.8,132.26473171716438
0.12,0.1,0.7365875986476382,0.24050520933237782,0.022155156833227857,7.8,135.7611778742925
0.13,0.1,0.7173488335770515,0.25507897726943807,0.01911488807984144,7.8,139.4021922379816
0.14,0.1,0.6982995419025506,0.269410530383902,0.016365914295307777,7.8,143.20502019455031
0.15,0.1,0.6793986895378474,0.2835291485747331,0.013904981375423023,7.8,147.18897981393482
0.16,0.1,0.6606093355005651,0.29745136171108694,0.011721539992930121,7.8,151.37539635922153
0.17,0.1,0.6418998696097359,0.3111838950932664,0.0098008096574342,7.8,155.78753748742508
0.18,0.1,0.6232449842268775,0.32472622640097787,0.008125609435482219,7.8,160.45054919141938
0.19,0.1,0.6046263863465077,0.33807277807931835,0.006677433208931051,7.8,165.3913925329263
0.2,0.1,0.5860332527407136,0.35121476978765664,0.00543708841325259,7.8,170.63878121647187
0.21,0.1,0.5674624304077307,0.36414175603907434,0.004385104725904149,7.8,176.22312005421824
0.22,0.1,0.5489183870338139,0.37684287448544995,0.0035020390166729224,7.8,182.1764443715745
0.23,0.1,0.5304129210814486,0.3893078304540678,0.002768745776330428,7.8,188.53236040349836
0.24,0.1,0.511964647783995,0.40152764331588986,0.0021666424101516053,7.8,195.32598673139515
0.25,0.1,0.49359828491540575,0.4134951800645302,0.0016779725779990649,7.8,202.59389681051724
0.26,0.1,0.47534376978867054,0.4252055011114211,0.0012860556512090358,7.8,210.37406263777947
0.27,0.1,0.4572352456056148,0.4366560427608236,0.0009755041842426125,7.8,218.70579960988906
0.28,0.1,0.43930996023436153,0.44784666012375307,0.000732391894010998,7.8,227.62971262170416
0.29,0.1,0.4216071231345074,0.45877955336964077,0.0005443597229439419,7.8,237.1876434547253
0.3,0.1,0.40416676615828057,0.46945909920688067,0.00040065488007312057,7.8,247.42261950562707
0.31,0.1,0.3870286513009349,0.4798916083379652,0.0002921053186942665,7.8,258.37880390473936
0.32,0.1,0.3702312634128943,0.49008502836263573,0.0002110384216442581,7.8,270.1014470743835
0.33,0.1,0.35381091891244615,0.5000486102153455,0.00015115684903023723,7.8,282.6368397769712
0.0,0.02,1.0,0.0,0.0,7.9,100.0
