adhesivity_time_400,particle_size,weight_coefficient
0.1,0.09,3.0
0.1,0.1,3.0
0.6,0.01,3.05
0.3,0.02,3.05
0.2,0.03,3.05
0.1,0.04,3.05
0.1,0.05,3.05
0.1,0.06,3.05
0.1,0.07,3.05
0.1,0.08,3.05
0.1,0.09,3.05
0.1,0.1,3.05
0.6,0.01,3.1
0.3,0.02,3.1
0.2,0.03,3.1
0.1,0.04,3.1
0.1,0.05,3.1
0.1,0.06,3.1
0.1,0.07,3.1
0.1,0.08,3.1
0.1,0.09,3.1
0.1,0.1,3.1
0.6,0.01,3.15
0.3,0.02,3.15
0.2,0.03,3.15
0.1,0.04,3.15
0.1,0.05,3.15
0.1,0.06,3.15
0.1,0.07,3.15
0.1,0.08,3.15
0.1,0.09,3.15
0.1,0.1,3.15
0.6,0.01,3.2
0.3,0.02,3.2
0.2,0.03,3.2
0.1,0.04,3.2
0.1,0.05,3.2
0.1,0.06,3.2
0.1,0.07,3.2
0.1,0.08,3.2
0.1,0.09,3.2
0.1,0.1,3.2
0.6,0.01,3.25
0.3,0.02,3.25
0.2,0.03,3.25
0.1,0.04,3.25
0.1,0.05,3.25
0.1,0.06,3.25
0.1,0.07,3.25
0.1,0.08,3.25
0.1,0.09,3.25
0.1,0.1,3.25
0.6,0.01,3.3
0.3,0.02,3.3
0.2,0.03,3.3
0.1,0.04,3.3
0.1,0.05,3.3
0.1,0.06,3.3
0.1,0.07,3.3
0.1,0.08,3.3
0.1,0.09,3.3
0.1,0.1,3.3
0.5,0.01,3.35
0.3,0.02,3.35
0.2,0.03,3.35
0.1,0.04,3.35
0.1,0.05,3.35
0.1,0.06,3.35
0.1,0.07,3.35
0.1,0.08,3.35
0.1,0.09,3.35
0.1,0.1,3.35
0.5,0.01,3.4
0.2,0.02,3.4
0.2,0.03,3.4
0.1,0.04,3.4
0.1,0.05,3.4
0.1,0.06,3.4
0.1,0.07,3.4
0.1,0.08,3.4
0.1,0.09,3.4
0.1,0.1,3.4
0.5,0.01,3.45
0.2,0.02,3.45
0.2,0.03,3.45
0.1,0.04,3.45
0.1,0.05,3.45
0.1,0.06,3.45
0.1,0.07,3.45
0.1,0.08,3.45
0.1,0.09,3.45
0.1,0.1,3.45
0.5,0.01,3.5
0.2,0.02,3.5
0.2,0.03,3.5
0.1,0.04,3.5
0.1,0.05,3.5
0.1,0.06,3.5
0.1,0.07,3.5
0.1,0.08,3.5
0.1,0.09,3.5
0.1,0.1,3.5
0.5,0.01,3.55
0.2,0.02,3.55
0.1,0.03,3.55
0.1,0.04,3.55
0.1,0.05,3.55
0.1,0.06,3.55
0.1,0.07,3.55
0.1,0.08,3.55
0.1,0.09,3.55
0.1,0.1,3.55
0.5,0.01,3.6
0.2,0.02,3.6
0.1,0.03,3.6
0.1,0.04,3.6
0.1,0.05,3.6
0.1,0.06,3.6
0.1,0.07,3.6
0.1,0.08,3.6
0.1,0.09,3.6
0.1,0.1,3.6
0.5,0.01,3.65
0.2,0.02,3.65
0.1,0.03,3.65
0.1,0.04,3.65
0.1,0.05,3.65
0.1,0.06,3.65
0.1,0.07,3.65
0.1,0.08,3.65
0.1,0.09,3.65
0.1,0.1,3.65
0.5,0.01,3.7
0.2,0.02,3.7
0.1,0.03,3.7
0.1,0.04,3.7
0.1,0.05,3.7
0.1,0.06,3.7
0.1,0.07,3.7
0.1,0.08,3.7
0.1,0.09,3.7
0.1,0.1,3.7
0.5,0.01,3.75
0.2,0.02,3.75
0.1,0.03,3.75
0.1,0.04,3.75
0.1,0.05,3.75
0.1,0.06,3.75
0.1,0.07,3.75
0.1,0.08,3.75
0.1,0.09,3.75
0.1,0.1,3.75
0.5,0.01,3.8
0.2,0.02,3.8
0.1,0.03,3.8
0.1,0.04,3.8
0.1,0.05,3.8
0.1,0.06,3.8
0.1,0.07,3.8
0.1,0.08,3.8
0.1,0.09,3.8
0.1,0.1,3.8
0.5,0.01,3.85
0.2,0.02,3.85
0.1,0.03,3.85
0.1,0.04,3.85
0.1,0.05,3.85
0.1,0.06,3.85
0.1,0.07,3.85
0.1,0.08,3.85
0.1,0.09,3.85
0.1,0.1,3.85
0.4,0.01,3.9
0.2,0.02,3.9
0.1,0.03,3.9
0.1,0.04,3.9
0.1,0.05,3.9
0.1,0.06,3.9
